2025-04-03 04:17:47.225986: Starting overnight training with the following parameters:
2025-04-03 04:17:47.225986: Total timesteps: 2000000
2025-04-03 04:17:47.226987: Learning rate: 0.0003
2025-04-03 04:17:47.226987: Batch size: 512
2025-04-03 04:17:47.227987: Buffer size: 200000
2025-04-03 04:17:47.227987: Exploration noise: 0.3
2025-04-03 04:17:47.228988: Models directory: ./ddpg_models/20250403_041747/
2025-04-03 04:17:47.228988: Log directory: ./ddpg_pyrace_tensorboard/20250403_041747/
2025-04-03 04:17:47.228988: Visualization enabled: True
2025-04-03 04:17:47.272002: Set view=True on RaceEnv
2025-04-03 04:17:48.148299: Loading checkpoint ./ddpg_models/ddpg_pyrace_v3_final.zip to continue training
2025-04-03 04:17:48.166305: 
Starting overnight training...
2025-04-03 04:17:48.166305: Visualization enabled. Press 'm' to toggle visualization mode, 'q' to quit.
2025-04-03 04:17:48.218323: Could not find PyRace2D object directly
2025-04-03 04:56:54.930674: Steps: 52000/2000000, FPS: 22.1, Time remaining: 24h 25m 46s
2025-04-03 04:57:41.462290: Steps: 53000/2000000, FPS: 22.1, Time remaining: 24h 25m 52s
2025-04-03 04:58:27.952895: Steps: 54000/2000000, FPS: 22.1, Time remaining: 24h 25m 54s
2025-04-03 04:59:14.567628: Steps: 55000/2000000, FPS: 22.1, Time remaining: 24h 25m 59s
2025-04-03 05:00:01.326338: Steps: 56000/2000000, FPS: 22.1, Time remaining: 24h 26m 7s
2025-04-03 05:00:47.846468: Steps: 57000/2000000, FPS: 22.1, Time remaining: 24h 26m 5s
2025-04-03 05:01:34.276569: Steps: 58000/2000000, FPS: 22.1, Time remaining: 24h 25m 59s
2025-04-03 05:02:20.767770: Steps: 59000/2000000, FPS: 22.1, Time remaining: 24h 25m 53s
2025-04-03 05:03:07.485962: Steps: 60000/2000000, FPS: 22.1, Time remaining: 24h 25m 53s
2025-04-03 05:03:54.085663: Steps: 61000/2000000, FPS: 22.0, Time remaining: 24h 25m 48s
2025-04-03 05:04:40.518260: Steps: 62000/2000000, FPS: 22.0, Time remaining: 24h 25m 36s
2025-04-03 05:05:27.099486: Steps: 63000/2000000, FPS: 22.0, Time remaining: 24h 25m 28s
2025-04-03 05:06:13.671624: Steps: 64000/2000000, FPS: 22.0, Time remaining: 24h 25m 18s
2025-04-03 05:07:00.236256: Steps: 65000/2000000, FPS: 22.0, Time remaining: 24h 25m 7s
2025-04-03 05:07:46.773898: Steps: 66000/2000000, FPS: 22.0, Time remaining: 24h 24m 54s
2025-04-03 05:08:33.431144: Steps: 67000/2000000, FPS: 22.0, Time remaining: 24h 24m 43s
2025-04-03 05:09:20.295382: Steps: 68000/2000000, FPS: 22.0, Time remaining: 24h 24m 38s
2025-04-03 05:10:06.959050: Steps: 69000/2000000, FPS: 22.0, Time remaining: 24h 24m 25s
2025-04-03 05:10:53.548697: Steps: 70000/2000000, FPS: 22.0, Time remaining: 24h 24m 10s
2025-04-03 05:11:40.026905: Steps: 71000/2000000, FPS: 22.0, Time remaining: 24h 23m 50s
2025-04-03 05:12:26.731080: Steps: 72000/2000000, FPS: 22.0, Time remaining: 24h 23m 36s
2025-04-03 05:13:13.269707: Steps: 73000/2000000, FPS: 21.9, Time remaining: 24h 23m 17s
2025-04-03 05:13:59.815347: Steps: 74000/2000000, FPS: 21.9, Time remaining: 24h 22m 57s
2025-04-03 05:14:46.428096: Steps: 75000/2000000, FPS: 21.9, Time remaining: 24h 22m 38s
2025-04-03 05:15:33.062253: Steps: 76000/2000000, FPS: 21.9, Time remaining: 24h 22m 19s
2025-04-03 05:16:19.615914: Steps: 77000/2000000, FPS: 21.9, Time remaining: 24h 21m 57s
2025-04-03 05:17:06.266589: Steps: 78000/2000000, FPS: 21.9, Time remaining: 24h 21m 37s
2025-04-03 05:17:52.922841: Steps: 79000/2000000, FPS: 21.9, Time remaining: 24h 21m 16s
2025-04-03 05:18:39.671566: Steps: 80000/2000000, FPS: 21.9, Time remaining: 24h 20m 57s
2025-04-03 05:19:26.242201: Steps: 81000/2000000, FPS: 21.9, Time remaining: 24h 20m 33s
2025-04-03 05:20:12.910873: Steps: 82000/2000000, FPS: 21.9, Time remaining: 24h 20m 11s
2025-04-03 05:20:59.755308: Steps: 83000/2000000, FPS: 21.9, Time remaining: 24h 19m 52s
2025-04-03 05:21:46.482403: Steps: 84000/2000000, FPS: 21.9, Time remaining: 24h 19m 30s
2025-04-03 05:22:33.223114: Steps: 85000/2000000, FPS: 21.9, Time remaining: 24h 19m 8s
2025-04-03 05:23:19.845792: Steps: 86000/2000000, FPS: 21.9, Time remaining: 24h 18m 42s
2025-04-03 05:24:06.415034: Steps: 87000/2000000, FPS: 21.9, Time remaining: 24h 18m 15s
2025-04-03 05:24:53.198253: Steps: 88000/2000000, FPS: 21.9, Time remaining: 24h 17m 52s
2025-04-03 05:25:39.839919: Steps: 89000/2000000, FPS: 21.9, Time remaining: 24h 17m 25s
2025-04-03 05:26:26.442569: Steps: 90000/2000000, FPS: 21.8, Time remaining: 24h 16m 57s
2025-04-03 05:27:13.015783: Steps: 91000/2000000, FPS: 21.8, Time remaining: 24h 16m 29s
2025-04-03 05:27:59.811003: Steps: 92000/2000000, FPS: 21.8, Time remaining: 24h 16m 4s
2025-04-03 05:28:46.582702: Steps: 93000/2000000, FPS: 21.8, Time remaining: 24h 15m 38s
2025-04-03 05:29:33.826566: Steps: 94000/2000000, FPS: 21.8, Time remaining: 24h 15m 22s
2025-04-03 05:30:20.702190: Steps: 95000/2000000, FPS: 21.8, Time remaining: 24h 14m 57s
2025-04-03 05:31:07.239024: Steps: 96000/2000000, FPS: 21.8, Time remaining: 24h 14m 26s
2025-04-03 05:31:54.051761: Steps: 97000/2000000, FPS: 21.8, Time remaining: 24h 13m 59s
2025-04-03 05:32:40.808457: Steps: 98000/2000000, FPS: 21.8, Time remaining: 24h 13m 31s
2025-04-03 05:33:27.439705: Steps: 99000/2000000, FPS: 21.8, Time remaining: 24h 13m 0s
2025-04-03 05:34:14.063358: Steps: 100000/2000000, FPS: 21.8, Time remaining: 24h 12m 29s
2025-04-03 05:35:00.725565: Steps: 101000/2000000, FPS: 21.8, Time remaining: 24h 11m 58s
2025-04-03 05:35:47.413246: Steps: 102000/2000000, FPS: 21.8, Time remaining: 24h 11m 27s
2025-04-03 05:36:34.196992: Steps: 103000/2000000, FPS: 21.8, Time remaining: 24h 10m 58s
2025-04-03 05:37:20.758212: Steps: 104000/2000000, FPS: 21.8, Time remaining: 24h 10m 24s
2025-04-03 05:38:07.427401: Steps: 105000/2000000, FPS: 21.8, Time remaining: 24h 9m 52s
2025-04-03 05:38:54.109078: Steps: 106000/2000000, FPS: 21.8, Time remaining: 24h 9m 20s
2025-04-03 05:39:40.933813: Steps: 107000/2000000, FPS: 21.8, Time remaining: 24h 8m 50s
2025-04-03 05:40:27.833154: Steps: 108000/2000000, FPS: 21.8, Time remaining: 24h 8m 21s
2025-04-03 05:41:14.515329: Steps: 109000/2000000, FPS: 21.8, Time remaining: 24h 7m 48s
2025-04-03 05:42:01.314041: Steps: 110000/2000000, FPS: 21.8, Time remaining: 24h 7m 17s
2025-04-03 05:42:48.049737: Steps: 111000/2000000, FPS: 21.8, Time remaining: 24h 6m 45s
2025-04-03 05:43:34.752996: Steps: 112000/2000000, FPS: 21.8, Time remaining: 24h 6m 11s
2025-04-03 05:44:21.469196: Steps: 113000/2000000, FPS: 21.8, Time remaining: 24h 5m 38s
2025-04-03 05:45:08.266897: Steps: 114000/2000000, FPS: 21.8, Time remaining: 24h 5m 6s
2025-04-03 05:45:55.086634: Steps: 115000/2000000, FPS: 21.7, Time remaining: 24h 4m 34s
2025-04-03 05:46:41.706877: Steps: 116000/2000000, FPS: 21.7, Time remaining: 24h 3m 58s
2025-04-03 05:47:28.530078: Steps: 117000/2000000, FPS: 21.7, Time remaining: 24h 3m 26s
2025-04-03 05:48:15.224761: Steps: 118000/2000000, FPS: 21.7, Time remaining: 24h 2m 51s
2025-04-03 05:49:02.079492: Steps: 119000/2000000, FPS: 21.7, Time remaining: 24h 2m 18s
2025-04-03 05:49:49.041849: Steps: 120000/2000000, FPS: 21.7, Time remaining: 24h 1m 47s
2025-04-03 05:50:35.843066: Steps: 121000/2000000, FPS: 21.7, Time remaining: 24h 1m 13s
2025-04-03 05:51:22.742812: Steps: 122000/2000000, FPS: 21.7, Time remaining: 24h 0m 41s
2025-04-03 05:52:09.557550: Steps: 123000/2000000, FPS: 21.7, Time remaining: 24h 0m 7s
2025-04-03 05:52:56.495917: Steps: 124000/2000000, FPS: 21.7, Time remaining: 23h 59m 35s
